Old Name,New Name
EN-RT-60-KENYA-GARISSAATTACK-KHEIRA-06042014.zip,EN-RT-KENYA_GARISSAATTACKKHEIRA-060414.zip
EN-RT-60-KENYA-GARISSAVIGIL-070415.zip,EN-RT-KENYA_GARISSAVIGIL-070415.zip
EN-RT-60-KENYA-SCHOOLTEARGAS-TAREK-190115.zip,EN-RT-KENYA_SCHOOLTEARGASTAREK-190115.zip
EN-RT-60-KOREA-DMZ-TABISH-250515.zip,EN-RT-KOREADMZTABISH-250515.zip
EN-RT-60-LEBANON-RECYCLING-300815.zip,EN-RT-LEBANON_RECYCLING-300815.zip
EN-RT-60-LEBANON-RUBBISH-240815.zip,EN-RT-LEBANON_RUBBISH-240815.zip
EN-RT-60-LIBERIA-EBOLAFREE-TABISH-130515.zip,EN-RT-LIBERIA_EBOLAFREETABISH-130515.zip
EN-RT-60-LIBYA-BOMBBOATS-SAKHR-210415.zip,EN-RT-LIBYA_BOMBBOATSSAKHR-210415.zip
EN-RT-60-LONDON-ANTIAUSTERITY-ZACH-062015.zip,EN-RT-LONDONANTIAUSTERITYZACH-010115.zip
EN-RT-60-LONDON-PEEPOWER-SUMMAQAH-150315.zip,EN-RT-LONDONPEEPOWERSUMMAQAH-150315.zip
EN-RT-SHORT-CHINA-GLASSBRIDGECRACK-071015.zip,EN-RT-CHINA_GLASSBRIDGECRACK-071015.zip
RT-60-ARGENTINA-CAVEMAN-020816.zip,EN-RT-ARGENTINA_CAVEMAN-020816.zip
RT-60-CANADA-FERTILITY-DOC-LAWSUIT-061116.zip,EN-RT-CANADA_FERTILITYDOCLAWSUIT-061116.zip
RT-60-CANADA-SPACEELEVATOR-221116.zip,EN-RT-CANADA_SPACEELEVATOR-221116.zip
RT-60-CHILE-MALLHERO-031116.zip,EN-RT-CHILE_MALLHERO-031116.zip
RT-60-CHINA-WORKERWORKOUT-111.zip,EN-RT-CHINA_WORKERWORKOUT111-010116.zip
RT-60-COSTARICA-TOUCAN-110816.zip,EN-RT-COSTARICATOUCAN-110816.zip
RT-60-DRC-ALBINOWRESTLING-310516.zip,EN-RT-DRCALBINOWRESTLING-310516.zip
RT-60-FRANCE-PAINAUCHOCOLAT-261016.zip,EN-RT-FRANCE_PAINAUCHOCOLAT-261016.zip
RT-60-FRANCE-SEXUALASSAULT-161016.zip,EN-RT-FRANCE_SEXUALASSAULT-161016.zip
RT-60-GAZA-ZOO-250816.zip,EN-RT-GAZA_ZOO-250816.zip
RT-60-INDIA-SNAKECATCHERS-041216.zip,EN-RT-INDIA_SNAKECATCHERS-041216.zip
RT-60-ISRAEL-SANTATEARGAS-251216.zip,EN-RT-ISRAEL_SANTATEARGAS-251216.zip
RT-60-JAPAN-JUNIORSOCCER-300816.zip,EN-RT-JAPAN_JUNIORSOCCER-300816.zip
RT-60-LOUISIANA-ANTIKKK-031116.zip,EN-RT-LOUISIANAANTIKKK-031116.zip
RT-60-PALESTINE-GIRLBIKE-020816.zip,EN-RT-PALESTINE_GIRLBIKE-020816.zip
RT-60-PERU-DEAFCONCERT-221216.zip,EN-RT-PERU_DEAFCONCERT-221216.zip
RT-60-SUDAN-CHEMICAL-290916.zip,EN-RT-SUDAN_CHEMICAL-290916.zip
RT-60-SYRIA-ALEPPOWARHACKS-081116.zip,EN-RT-SYRIA_ALEPPOWARHACKS-081116.zip
RT-60-SYRIA-GASATTACK-110816.zip,EN-RT-SYRIA_GASATTACK-110816.zip
RT-60-SYRIA-MALNUTRITION-250716.zip,EN-RT-SYRIA_MALNUTRITION-250716.zip
